username, mac_address, start_time, usage_time, upload, download
brainyHeron5,74:73:4E:09:DE:6F,2022-11-04 15:43:33,4:50:20,3512752.28,7462017.97
eagerUnicorn5,79:5A:26:11:7E:AF,2022-11-10 01:38:12,5:07:37,8822584.55,7711352.0
affectedEagle7,16:73:21:5B:CA:58,2022-11-05 09:35:17,9:27:46,1469847.15,421045.38
goofyFish0,72:10:22:2A:7C:3E,2022-11-23 17:42:57,4:05:18,9817225.29,7149995.99
obsessedHare3,29:04:18:16:08:00,2022-12-04 00:52:39,16:57:38,323996.31,2250561.43
troubledGelding4,66:12:5E:15:D8:1B,2022-11-12 00:09:18,11:36:53,6973147.19,8984268.8
wearyChile2,11:66:3F:4A:1C:B6,2022-11-14 14:44:45,23:46:35,6623570.55,1150532.55
troubledCurlew9,2D:29:25:5F:55:32,2022-12-17 00:43:48,23:45:49,5483341.45,2566606.74
blissfulChough7,1D:2F:58:0F:B7:13,2022-12-02 04:39:45,17:08:23,8626179.58,5976465.42
enviousDoves4,36:68:66:3D:EF:50,2022-11-03 00:59:22,12:40:32,2618294.45,6604870.9
fondGelding6,2F:7D:48:58:62:25,2022-11-13 05:16:57,8:08:50,9991230.38,6375624.19
excludedMoth6,1E:38:5E:6B:57:59,2022-12-11 18:51:23,2:28:24,6894846.73,9074122.19
cynicalTermite9,79:24:54:2A:2A:0F,2022-12-05 15:19:54,4:13:28,5389146.65,8127241.55
tautCrackers7,54:73:56:1B:05:81,2022-11-04 22:14:00,5:19:20,5034006.64,2400578.95
shyDotterel3,12:78:67:4E:CC:A2,2022-11-29 05:10:33,10:12:34,4030648.11,739839.54
sincereOtter5,52:73:43:20:D2:3F,2022-12-15 23:26:08,18:23:09,3917411.7,6202203.29
boredWigeon0,2C:4A:0F:13:A8:55,2022-11-10 08:59:49,18:06:33,5438717.87,2742061.07
importedSheep3,31:05:43:23:F9:12,2022-12-03 08:39:12,22:26:11,4649874.98,1742470.94
dearFlamingo4,35:28:30:72:DC:2D,2022-11-06 16:36:42,12:24:39,9513767.43,1649612.76
mellowPoultry4,01:13:4C:52:EF:8F,2022-11-22 19:39:26,23:12:56,4281067.17,5378501.33
soreCaribou1,27:5D:73:57:82:B0,2022-11-14 20:49:08,1:17:08,2392372.87,6834613.26
importedMackerel7,29:20:15:29:8E:31,2022-12-22 23:32:57,4:23:06,5452802.53,9464897.96
eagerApples7,63:65:20:0E:4D:1F,2022-12-08 06:40:46,4:11:19,973714.77,9011864.46
affectedCockatoo7,51:05:17:7C:73:CB,2022-12-13 05:30:59,4:47:02,1621228.64,4593902.05
guiltyBass9,53:04:3B:46:A0:57,2022-12-04 01:56:51,1:45:50,8759494.57,8719709.88
emptyBasmati5,6F:53:48:0F:5E:9A,2022-11-14 13:11:35,23:32:20,3486790.32,7444376.41
adoringPudding2,3B:47:3A:7C:B0:5A,2022-11-25 09:41:19,2:43:31,4699703.24,5851003.45
finickyMoth0,01:7F:43:36:3D:BC,2022-12-20 03:30:40,16:24:27,5859334.42,8305859.29
sorePudding2,4B:51:50:69:14:53,2022-11-29 08:56:08,8:03:11,654263.49,1834946.47
bubblyPup8,53:47:1F:1D:B1:87,2022-12-07 20:02:39,1:33:28,5051730.74,8091759.88
panickyOil2,24:45:56:0E:FE:FD,2022-11-11 08:06:40,18:11:49,4982577.59,5416009.22
dejectedBass2,68:5A:25:57:A4:43,2022-11-08 10:51:02,2:47:05,7695767.14,5668223.67
alertChile3,1A:2B:1B:1B:C5:51,2022-11-27 05:57:06,5:12:11,8342227.71,1909587.93
